name,fm_reference,slug,failing_condition,has_business_phone
3 Pepper Burrito Co. Bradenton,5e35c2c0-f1fc-49d9-a487-7e41648d09ab,3pepperburritoco-bradenton,contact_phone,yes
3 Pepper Burrito Co. Cape Coral,c02f541a-8ee8-4e73-881d-72dd8a553629,3pepperburritoco-capecoral,contact_phone,yes
3 Pepper Burrito Co. Estero,c9f909fa-9494-4e96-b01c-4337db6e7120,3pepperburritoco-estero,contact_phone,yes
3 Pepper Burrito Co. Ft Myers - The Forum,9ea35001-2d8a-437e-8586-4a619d6118eb,3pepperburritoco-forum,contact_phone,yes
3 Pepper Burrito Co. Ft Myers – Downtown,97a86475-ec10-4590-a2a9-ea358004735b,3pepperburritoco-downtown,contact_phone,yes
3 Pepper Burrito Co. Lehigh Acres,16a0ed89-fbd6-484f-a4e7-88cce9e66a44,3pepperburritoco-lehighacres,contact_phone,yes
7 Elephants,6b826933-30c3-458f-a201-7a3fffc3dc8e,7elephants,contact_phone,yes
Almost Home – Lincroft,8966f05b-790f-4737-8930-49d4ba276bdd,almosthomecateringlincroft,contact_phone,yes
Almost Home Red General – Navesink,6ab74a61-ca30-4a4e-89bf-dab2fc56bfc6,almosthomeredgeneralnavesink,contact_phone,yes
Alta Calidad,12a4ac54-8fa3-41be-ae2a-09475c19b7b2,altacalidad,contact_phone,yes
Ánimo!,13eb0573-03cc-4ce4-ae3b-e910adc92e41,animo,contact_phone,yes
Apollo Bagels - East Village,b14c6ccf-d7d4-47ac-b628-db3770881a6b,apollobagels-eastvillage,contact_phone,yes
Apollo Bagels - FiDi,f4112807-6681-44db-b1d4-9b21b0e99fed,,contact_phone,yes
Apollo Bagels - Kips Bay,cd100520-b2f1-40b4-9f58-ea06d8cd2e4c,apollobagels-kipsbay,contact_phone,yes
Atlanta Bread - Asheville,cfca4d99-e061-4bd0-83e7-8c0fc02f8fb8,atlantabread-ashville,contact_phone,yes
Atlanta Bread - Atlanta,15be4ed1-c6ab-484e-af5c-1e9395b65b42,atlantabread-westside,contact_phone,yes
Atlanta Bread - Decatur,e3f6cd92-0344-4462-aee5-c473dac31494,atlantabreaddecatur,contact_phone,yes
Atlanta Bread - Peachtree Corners,1fe1352b-5d62-41a0-b07b-c676fccf426b,atlantabreadpeachtreecorners,contact_phone,yes
