name,fm_reference,group,first_admin_email,first_admin_phone,other_domain_admin_phones,contact_confirmed
"3 Pepper Burrito Co. Bradenton",5e35c2c0-f1fc-49d9-a487-7e41648d09ab,fixed,justin@3pepperburrito.com,2395742050,,true
"3 Pepper Burrito Co. Cape Coral",c02f541a-8ee8-4e73-881d-72dd8a553629,could_not_fix,,,,false
"3 Pepper Burrito Co. Estero",c9f909fa-9494-4e96-b01c-4337db6e7120,fixed,shaun@3pepperburrito.com,2392086902,,true
"3 Pepper Burrito Co. Ft Myers - The Forum",9ea35001-2d8a-437e-8586-4a619d6118eb,could_not_fix,,,,false
"3 Pepper Burrito Co. Ft Myers – Downtown",97a86475-ec10-4590-a2a9-ea358004735b,fixed,lori@3pepperburrito.com,2393080480,,true
"3 Pepper Burrito Co. Lehigh Acres",16a0ed89-fbd6-484f-a4e7-88cce9e66a44,could_not_fix,,,,false
"7 Elephants",6b826933-30c3-458f-a201-7a3fffc3dc8e,fixed,masayafood@gmail.com,646-752-7940,,true
"Almost Home – Lincroft",8966f05b-790f-4737-8930-49d4ba276bdd,could_not_fix,,,,false
"Almost Home Red General – Navesink",6ab74a61-ca30-4a4e-89bf-dab2fc56bfc6,fixed,julia@almosthomegeneral.com,732-291-2750,,true
"Alta Calidad",12a4ac54-8fa3-41be-ae2a-09475c19b7b2,fixed,kcarter@hosphq.com,7186221111,,true
"Ánimo!",13eb0573-03cc-4ce4-ae3b-e910adc92e41,fixed,mark@animonyc.com,2128371791,,true
"Apollo Bagels - East Village",b14c6ccf-d7d4-47ac-b628-db3770881a6b,fixed,242east10@apollobagels.com,8442183081,,true
"Apollo Bagels - FiDi",f4112807-6681-44db-b1d4-9b21b0e99fed,fixed,41john@apollobagels.com,8442183081,,true
"Apollo Bagels - Kips Bay",cd100520-b2f1-40b4-9f58-ea06d8cd2e4c,fixed,416third@apollobagels.com,8442183081,,true
"Atlanta Bread - Asheville",cfca4d99-e061-4bd0-83e7-8c0fc02f8fb8,fixed,atlantabreadasheville@gmail.com,8282742323,,true
"Atlanta Bread - Atlanta",15be4ed1-c6ab-484e-af5c-1e9395b65b42,fixed,bcouvaras@atlantabread.com,7704386800,,true
"Atlanta Bread - Decatur",e3f6cd92-0344-4462-aee5-c473dac31494,could_not_fix,,,,false
"Atlanta Bread - Peachtree Corners",1fe1352b-5d62-41a0-b07b-c676fccf426b,fixed,kjp@atlantabread.com,4708666530,,true
"Atlanta Bread - Sandy Springs",ddd811dc-d7b5-4db4-aadb-dac0ae641137,could_not_fix,,,,false
"Atlanta Bread - Smyrna",874c07a0-891a-4507-b3b7-c97e03057e79,fixed,southcobb@atlantabread.com,7704386800,,true
"Atlanta Bread - The Collection",d067a5f4-f48f-4eeb-a44b-abaed2800964,fixed,kumar.adarsh@gmail.com,6788455881,,true
"Atlanta Bread - Woodstock",15c76426-0070-4ce2-a93a-237cf5d97516,fixed,josh@woosindustries.com,6784452794,,true
"Aunts et Uncles",1ef81e10-6153-4ef5-bf6a-ad2b9fc5e65d,fixed,gather@auntsetuncles.com,3472950001,,true
"Backyard Bowls - Beverly Grove",15d3780d-9a25-4ecc-af25-2dffe9d92992,could_not_fix,,,,false
