name,fm_reference,reason
"3 Pepper Burrito Co. Cape Coral",c02f541a-8ee8-4e73-881d-72dd8a553629,"could not fix - FM 500 server error (full+minimal)"
"3 Pepper Burrito Co. Ft Myers - The Forum",9ea35001-2d8a-437e-8586-4a619d6118eb,"could not fix - FM 500 server error (full+minimal)"
"3 Pepper Burrito Co. Lehigh Acres",16a0ed89-fbd6-484f-a4e7-88cce9e66a44,"could not fix - FM 500 server error (full+minimal)"
"Almost Home – Lincroft",8966f05b-790f-4737-8930-49d4ba276bdd,"could not fix - FM 500 server error (full+minimal)"
"Atlanta Bread - Decatur",e3f6cd92-0344-4462-aee5-c473dac31494,"could not fix - FM 500 server error (full+minimal)"
"Atlanta Bread - Sandy Springs",ddd811dc-d7b5-4db4-aadb-dac0ae641137,"could not fix - FM 500 server error (full+minimal)"
"Backyard Bowls - Beverly Grove",15d3780d-9a25-4ecc-af25-2dffe9d92992,"could not fix - FM 500 server error (full+minimal)"
"Barons Bagel's - Point Pleasant",171b5f5e-b8cc-4f51-9631-8bbff001f572,"could not fix - FM 500 server error (full+minimal)"
"Binge Biryani - Long Island City",e1391394-dba4-4180-b216-f92a92b29950,"could not fix - FM 500 server error (full+minimal)"
"Brooklyn Dumpling Shop - Midtown",1e2ee4f7-51bb-4e7b-bc29-6e0c23af7bb8,"could not fix - FM 500 server error (full+minimal)"
"Bunny Chow - South African Food - Miramar Shebeen",84fd2401-8f00-41e6-afe5-01080a830c65,"could not fix - FM 500 server error (full+minimal)"
"Cafe Landwer - Cleveland Circle",1c2df9c7-141d-40a8-a712-635e026f5155,"could not fix - FM 500 server error (full+minimal)"
"Chook - 8th Ave & Birch St",0199d197-15f4-4e41-9ab1-b1825569793d,"could not fix - FM 500 server error (full+minimal)"
"Chook - Cherry Hills Marketplace",cf51babd-baa5-4c19-9054-4c9711625092,"could not fix - FM 500 server error (full+minimal)"
"Crackin’ Yolks",14be4279-b234-40e9-9a03-9d0ade421440,"could not fix - FM 500 server error (full+minimal)"
"Crispy Karma",3269312e-06c5-44f3-89fc-36b046d598e9,"could not fix - FM 500 server error (full+minimal)"
"Das Good Cafe",d8d27e83-a9b5-421f-b13b-611a3e316772,"could not fix - FM 500 server error (full+minimal)"
"DeCheco’s Pizzeria - Fairlawn",c42d8232-2cef-4f34-be9c-1705d4b48393,"could not fix - FM 500 server error (full+minimal)"
"DeCheco’s Pizzeria - Firestone Park",2f1c1e66-cff4-4dff-901c-a5725b243ddc,"could not fix - FM 500 server error (full+minimal)"
"DeCheco’s Pizzeria - Hudson",b62cfd6d-1aa3-4b34-bb99-d0335ae59699,"could not fix - FM 500 server error (full+minimal)"
"DeCheco’s Pizzeria - Munroe Falls",7138349e-0e35-4062-bc87-559a16483d46,"could not fix - FM 500 server error (full+minimal)"
"DeCheco’s Pizzeria - Springfield / Ellet",3e8a073b-762f-4112-8059-f0af346a8e5f,"could not fix - FM 500 server error"
"EggBred - La Habra",6cb10a5c-3b3e-48f6-aa66-a1c2f85ebb66,"could not fix - FM 500 server error"
"Eggstasy - Mesa",ba317e04-b341-4c31-b942-cd411bf8a2bf,"could not fix - FM 500 server error"
"Eggstasy - Norterra Ctr.",f718312a-03fb-4c63-895e-82ec09a8c843,"could not fix - FM 500 server error"
"Eggstasy - Queen Creek",188f682c-0cc4-44b7-a174-561ccecd797b,"could not fix - FM 500 server error"
"Eggstasy - Scottsdale",49a5fa8d-9ea7-4353-a655-5a903358302e,"could not fix - FM 500 server error"
"Eggstasy - The Colony",4ca9a6d4-4840-434c-8447-511a5a06d854,"could not fix - FM 500 server error"
"Fat Boy's Pizza - Covington",66d75927-1cc8-4d00-9d1e-4f625cd2f547,"could not fix - FM 500 server error"
"Fat Boy's Pizza - Harvey",754705a3-d7da-49db-bc44-a7c3d2905dc0,"could not fix - FM 500 server error"
"Fat Boy's Pizza - Metairie",a8902c33-78c4-4c74-bebb-3cff826c646b,"could not fix - FM 500 server error"
"Genghis Grill - Lake Worth",544f393c-1d4b-4a7d-926b-cd57b820dc89,"could not fix - FM 500 server error"
"GREGORIO'S TRATTORIA - POTOMAC",f1d05c05-4573-45e7-aedf-3ec63a07b64a,"could not fix - FM 500 server error"
"GREGORIO'S TRATTORIA - RESTON",863ce24f-55d1-444d-98c1-7235e4dafd31,"could not fix - FM 500 server error"
"Happy's Pizza - Farmington Hills",87a00dff-9609-41f4-97c1-6b0a4894215f,"could not fix - FM 500 server error"
"Howlin' Willy's - Druid Hills",d8916675-b403-4035-87d8-0f3629f83b99,"could not fix - FM 500 server error"
"Howlin' Willy's - Hapeville",fcc7c70d-32b7-41a0-a1c9-f16951f7481d,"could not fix - FM 500 server error"
"Hugo's Studio City",ef8ffaf5-6f65-4761-91ce-8b6ca587970f,"could not fix - FM 500 server error"
"Hugo's Tacos Atwater Village",a090483e-d22a-4d72-b29c-9b8970676822,"could not fix - FM 500 server error"
"Lechon Loco",f4fe7c19-667a-44de-bd4e-635bb5ad6eca,"could not fix - FM 500 server error"
