name,restaurant_reference,is_live,visible,effective_tax_pct,menu_count,item_count,order_count,multi_unit_link_slug,run,converted_at_utc
ActuallyNovember,85dc5165-cca0-4ba2-8c30-696f647cb0e0,false,false,9.5,1,22,1,,mass run,2026-09-09T01:02:49.511Z
Almost Home - Westfield,5dc6caef-a0d5-4099-befb-090a196047b1,false,false,6.625,5,104,11,almosthome,named conversion,2026-09-09T12:54:32.732Z
Almost Home – Lincroft,8966f05b-790f-4737-8930-49d4ba276bdd,true,true,6.625,8,235,713,almosthome,chain run,2026-09-09T11:51:08.740Z
Almost Home – Oceanport,b328a7b1-59ff-4a63-8d37-ae6a2d789c40,true,true,6.625,7,203,30,almosthome,chain run,2026-09-09T11:48:28.633Z
Ánimo!,13eb0573-03cc-4ce4-ae3b-e910adc92e41,true,true,8.875,1,32,1,,mass run,2026-09-09T01:03:14.718Z
Apollo Bagels - East Village,b14c6ccf-d7d4-47ac-b628-db3770881a6b,true,true,8.875,1,13,1,apollobagels,named conversion (Apollo Bagels),2026-09-09T00:08:54.668Z
Apollo Bagels - FiDi,f4112807-6681-44db-b1d4-9b21b0e99fed,true,true,8.875,1,14,4,apollobagels,named conversion (Apollo Bagels),2026-09-09T00:09:16.778Z
Apollo Bagels - Hoboken,632c781f-2a79-41ee-9cdb-a710aa89cad9,true,true,6.625,1,13,63,apollobagels,named conversion (Apollo Bagels),2026-09-09T00:17:03.647Z
Apollo Bagels - Industry City,fc81b2bc-f148-4146-895c-213db34083a3,true,true,8.875,2,26,12,apollobagels,named conversion (Apollo Bagels),2026-09-09T00:09:35.783Z
Apollo Bagels - Kips Bay,cd100520-b2f1-40b4-9f58-ea06d8cd2e4c,true,true,8.875,2,26,106,apollobagels,named conversion (Apollo Bagels),2026-09-09T00:18:01.227Z
Apollo Bagels - Midtown,cc2a73bf-9384-4523-90a7-5d0f0b917a42,true,true,8.875,3,43,35,apollobagels,named conversion (Apollo Bagels),2026-09-09T00:09:58.756Z
Apollo Bagels - Tribeca,83487cf2-d592-4f04-a1fe-a1b969a6c48b,false,false,8.875,2,26,1,apollobagels,named conversion (Apollo Bagels),2026-09-09T00:10:07.536Z
Apollo Bagels - West Village,864671d9-7ac5-4f2c-81fa-6e8726854107,true,true,8.875,1,13,1,apollobagels,named conversion (Apollo Bagels),2026-09-09T00:10:11.035Z
