restaurant_name,restaurant_reference,is_live,bounced_admin_email,bounce_reason,notification_emails,notification_sms,why_no_contact
ActuallyNovember,85dc5165-cca0-4ba2-8c30-696f647cb0e0,false,,,actuallynovember@gmail.com,,FM names no admin
Aunts et Uncles,1ef81e10-6153-4ef5-bf6a-ad2b9fc5e65d,true,,,"gather@auntsetuncles.com,ashanti@auntsetuncles.com","9175868529,6479299090",FM names no admin
Beatnic - Williamsburg,824bd847-1659-4134-b491-d50e4f003b7e,false,,,"toddb@eatbeatnic.com,williamsburg@eatbeatnic.com",6464041276,FM names no admin
Binge Biryani - Long Island City,e1391394-dba4-4180-b216-f92a92b29950,true,eat@bingebiryani.com,5.1.1 mailbox does not exist,eat@bingebiryani.com,7189255529,admin invite hard-bounced
Botte - Astoria,58af4209-01c0-41e5-aed0-e96a9d0d9cca,true,,,info@bottecucina.com,,FM names no admin
Botte - Brooklyn,a9822f03-a991-4c06-bce0-b13dacc4583b,true,,,info@bottecucina.com,,FM names no admin
Botte - UES,36142ac2-6fe4-4b22-ab60-601f2984966a,true,,,info@bottecucina.com,,FM names no admin
Cafe Landwer - Century City,c08b87eb-1006-42ad-901b-9cc4f02f5fdc,false,,,oscar@cafelandwerla.com,4028000469,FM names no admin
Casa Nono,ea177c9e-25a1-4bd1-bf51-68cb51435bdd,false,,,casanonox@gmail.com,,FM names no admin
Club Sandwich,d9073c43-ac9b-4950-9713-8cd6d4c7a5ed,true,,,"hello@clubsandwichtivoli.com,amorris8@gmail.com",6099928125,FM names no admin
Colette's Creations,47b2a215-2533-4bd0-9ada-aa297515902c,false,,,"colettewilliams@southern.edu,colettescreationsvegan@gmail.com",9258179798,FM names no admin
Cookman Creamery,59da89e9-6b87-4a6f-9297-66fe38f1faf7,false,,,cookmancreameryap@gmail.com,,FM names no admin
Daily Chew Catering,3b7c7716-e128-4216-88ec-85736cae2c38,false,,,dailychewcatering@gmail.com,6198797979,FM names no admin
Deli-icious ,d1875c3b-4115-4340-a936-7da4669e6d8a,false,,,deliiciouslajolla@gmail.com,,FM names no admin
Fish Cheeks,1c8e3287-7d15-4c8f-b238-fd68be7c011b,true,,,"morgan@55hospitality.com,dustin@fishcheeksnyc.com",8452491879,FM names no admin
Green Wrap Eatery,d01c1ee9-044a-486b-9f5b-85a3cb6d8a7d,true,,,gwrapeatery@gmail.com,6785089968,FM names no admin
Hello Halloumi,7d284d58-c9ab-4279-919b-cedcda27b114,true,,,"alex@hellohallouminyc.com,hello@hellohallouminyc.com,cp@byprojectatlas.com","347-702-0088,929-797-5084",FM names no admin
Hungry House,dacacc8f-8b7c-40d2-8fe7-d1cda02315ae,false,,,catering@hungryhouse.com,,FM names no admin
Katz's Delicatessen,4cc15dd7-5b13-4808-af3b-b7862af3cbfb,false,,,catering@katzsdelicatessen.com,,FM names no admin
Lazy Daisy Beverly Hills,ea088dbc-d45f-4709-993d-9660550db6fb,true,,,"adam@lazydaisybeverlyhills.com,lisa@lazydaisybeverlyhills.com",,FM names no admin
Luna Verde Vegan Mexican Restaurant,9ef76d84-4301-44d0-bd87-1a03ab6a0f5c,false,,,veganlunaverde@gmail.com,7326856121,FM names no admin
Mekelburg's ,f7fc4e70-57be-4414-8030-c43dda6f444f,false,,,"lee.saltz@mekelburgs.com,info@mekelburgs.com",9173315747,FM names no admin
Osteria,c4239680-b664-4f8b-b597-a4a7d5614b3a,false,,,osteriabrooklyn@gmail.com,,FM names no admin
Pine and Crane DTLA,8c6237db-a1ab-43f8-8650-82a58025f1e2,true,,,dtla@pineandcrane.com,,FM names no admin
rhk marketplace,3921a66d-0850-40b5-aaef-b8d92e91d413,true,,,redhookkitchenette@gmail.com,8623780892,FM names no admin
Springbone Kitchen,035f1f94-d493-4381-99cf-0dfe5a32c776,false,,,"info@springbone.com,shujahqazi@gmail.com",,FM names no admin
Teranga,1eef42de-e410-4769-8af5-c1d267851a79,true,,,"noah@itsteranga.com,ianmgarland@gmail.com,scott@itsteranga.com",2035717524,FM names no admin
The Corner Street Taco Bar,739bc2d3-fcf3-4c87-904b-2757dfe4774e,true,,,"thecornerstreettacobar@gmail.com,info@emservicesofga.com",,FM names no admin
Toast & Taste Catering,04147a99-4f68-481a-aac7-933c8ef67d02,true,,,hello@partyonthe.rocks,"2068497906,2067072582",FM names no admin
Utopia Bagels,1acab412-b3e0-44de-91b1-f01cc49bd7f0,true,,,midtown@utopiabagels.com,"7184067364,7184067362,9175898092,2019667855",FM names no admin
Veselka,d6a90372-7931-4ba0-a2ef-d448c3777e25,true,,,"sarah@veselka.com,orders@veselka.com",,FM names no admin
