stripe_account_id,display_name,business_name,email,charges_enabled,payouts_enabled,created,statement_descriptor,business_url,support_phone,likely_restaurant,likely_restaurant_reference,match_basis,agreeing_signals,signals,disco_holds_account
acct_1TvlNIKUIAzsXVp6,EGGBRED BREA,M.R.S. YI VENTURES LLC,hello@eggbredbrea.com,true,true,2026-07-21,EGGBRED BREA,https://eggbred.com/,+16574445344,EggBred - Brea,1046eaf2-3a8f-400e-8307-b1f43643b140,statement descriptor,6,statement descriptor + support phone + address (city) + business url + address (zip only) + name,no
acct_1U7QHc32gTGsnM8D,Eggbred,Sunrise Provisions Inc.,eggbredgardengrove@gmail.com,true,true,2026-08-23,EGGBRED GARDEN GROVE,www.eggbred.com,+17145915017,EggBred - Garden Grove,73e51d21-6c67-4026-bb1e-d8f1cb79de8c,statement descriptor,5,statement descriptor + support phone + address (street) + address (city) + address (zip only),no
acct_1TjJjuKMTeIiqFTM,Eggbred,,bexley@eggbred.com,true,true,2026-06-17,EGGBRED.COM,www.eggbred.com,+18132796990,EggBred - Land O' Lakes,d00a24ab-1426-4ddc-bafd-14fdae6f9502,support phone,3,support phone + address (city) + address (zip only),no
acct_1ToAGt4DxXCTcfdC,EggBred,"Just Yolk It, LLC",chinohills@eggbred.com,true,true,2026-06-30,EGGBRED,eggbred.com,+19092802733,EggBred - Chino Hills,69011526-3425-4128-b81c-b11aa19fa682,support phone,3,support phone + address (city) + address (zip only),no
acct_1Tn2FDQQQl5O6XRt,FamilyMeal Test Kitchen,FamilyMeal Concepts Inc,peter@familymeal.com,true,true,2026-06-27,FAMILYMEAL,www.familymeal.com,+17322397055,Test 37,ce31b5f3-3f24-4dfe-856c-75160d68bd6b,address (street),2,address (street) + name,no
acct_1TyWiU3nfnpM2xsf,FamilyMeal Test Kitchen,FamilyMeal Concepts Inc,peter@familymeal.com,true,true,2026-07-29,FAMILYMEAL,www.familymeal.com,+17322397055,Test 37,ce31b5f3-3f24-4dfe-856c-75160d68bd6b,address (street),2,address (street) + name,no
acct_1HIItbKZUc8hF6Bt,Eggbred,,eggbredoc@gmail.com,true,true,,EGGBRED,www.eggbred.com,+17147439533,EggBred - Brentwood,ca817cfa-0ecc-4733-a24a-5b7ccf0a3cbb,name,,name,no
acct_1ToX90KtIeF185Ie,EggBred,RyLinAtLiz Co.,eggbredbrentwood@eggbred.com,false,false,2026-07-01,EGGBRED,www.eggbred.com,,EggBred - Brentwood,ca817cfa-0ecc-4733-a24a-5b7ccf0a3cbb,name,,name,no
acct_1O7KqNLWLtkxLXTf,Crocsoupcompany,Croc Soups Company LLC,layda_azimi@yahoo.com,true,true,2023-10-31,CROC SOUP COMPANY,https://www.crocsoupcompany.com/order#/,+13032162566,Croc Soup Company,a15d961b-09cd-4b2b-bd56-4f3e9ebaa250,statement descriptor,7,statement descriptor + company name + address (street) + address (city) + business url + address (zip only) + name,no
acct_1QP8WIDSxv3noSiy,Mill Creek Tavern ,MILL CREEK TAVERN,millcreekny@gmail.com,true,true,,MILL CREEK TAVERN,www.millcreekny.com,+15166282000,Mill Creek,12b4f6b3-03a3-418a-8e55-1bc07693bd54,statement descriptor,6,statement descriptor + company name + address (street) + address (city) + address (zip only) + name,no
acct_1SzgHS0wXTL8oJP0,Lucharitos Center Moriches,Lucharitos Center Moriches INC,marc@lucharitos.com,true,true,2026-02-11,LUCHARITOS CENTER MORI,www.lucharitos.com,+16314009625,Lucharitos - Center Moriches,cfc12be4-a400-4772-a10f-6762bbcac9a5,statement descriptor,6,statement descriptor + company name + address (city) + business url + address (zip only) + name,no
acct_1PcxV9BLYaegjhG3,Petro's Chili & Chips,Petro's Chili & Chips,katelyn@petros.com,false,false,,PETROS CHILI & CHIPS,www.petros.com,+18658054688,Petro's Chili & Chips,5e4e068f-91b2-4457-9155-454c25ec255b,statement descriptor,6,statement descriptor + company name + address (city) + business url + address (zip only) + name,no
acct_1DgDyoDoXtf3T22J,NTT Nutrition,Nourish Thy Temple LLC,info@nttnutrition.com,true,true,,NTT NUTRITION,nttnutrition.com,+17276880781,NTT Nutrition,55bf673c-773a-498b-a6d9-f5dc977d22de,statement descriptor,5,statement descriptor + address (street) + address (city) + business url + name,no
acct_1NGUXjBPGCgNixHR,Hitthespotcateringcafe,Hit The Spot Catering Cafe,hitthespotcatering18@gmail.com,true,true,,HIT THE SPOT CATERING,hitthespotcateringcafe.com,+16789730164,Hit the spot catering cafe ,6029839c-c698-436a-a6aa-cd47286e086a,statement descriptor,5,statement descriptor + address (street) + address (city) + business url + name,no
acct_1NpyEBHpFS4qtgJ9,Robbyjay,Robby J Inc.,info@robbyjay.com,true,true,2023-09-13,ROBBYJAY.COM,Robbyjay.com,+19294003856,Robby J Catering,c8a128ca-d332-4851-903d-14aaeea43b27,statement descriptor,5,statement descriptor + address (street) + address (city) + address (zip only) + name,no
acct_1Oo66BFLAInalHZo,salsaleedos.net,Salsa Leedos Catering,salsaleedos@gmail.com,true,true,2024-02-26,SALSA LEEDOS CATERING,www.salsaleedos.net,+18015658818,Salsa Leedos Mexican Grill,9f5dd87d-418e-43af-a3fe-8dd89cecd93f,statement descriptor,5,statement descriptor + company name + address (city) + business url + address (zip only),no
acct_1OSTHOE5N5wI47Fj,tropicali.net,Tropicali Brazilian Kitchen,silvio@silviopersonalchef.com,true,true,2023-12-29,TROPICALI BRAZILIAN KI,www.tropicali.net,+14242880360,TROPICALI Brazilian Kitchen,eb955cda-bfd4-402e-82c7-666c5a78964b,statement descriptor,5,statement descriptor + address (city) + business url + address (zip only) + name,no
acct_1OVH3GFuWm520Vy0,Oliveandoaknj,Olive and Oak LLC,oliveandoaknj@gmail.com,true,true,,OLIVEANDOAKNJ.COM,www.oliveandoaknj.com,+17327591405,Olive and Oak,a9811632-7894-48f7-b17f-4147431f47ef,statement descriptor,5,statement descriptor + company name + address (city) + address (zip only) + name,no
acct_1OylAIBCkO0Yyjtb,Themotowndiet,The Motown Diet,thewalkers720@gmail.com,true,true,2024-03-27,THE MOTOWN DIET,https://themotowndiet.com/,+13132045560,The Motown Diet,a08e8b1b-941a-4c85-a7a5-12d9ce68192b,statement descriptor,5,statement descriptor + company name + address (city) + business url + name,no
acct_1QCSXKFYhUsGsBhy,decades.pizza,Decades Pizza,zach.hughes@decades.pizza,true,true,2024-10-21,DECADES PIZZA,http://decades.pizza,+13477630018,Decades Pizza,4800a03e-c525-4230-a461-eed2987ae0b2,statement descriptor,5,statement descriptor + address (city) + business url + address (zip only) + name,no
acct_1Qw97p2NRzyFNYuE,Baby's Buns & Buckets,Baby's Buns & Buckets INC,babysbb.nyc@gmail.com,true,true,2025-02-24,BABYS BUNS & BUCKETS,https://www.babysbunsandbuckets.com/,+13479157717,Baby's Buns & Buckets,632389bc-f3bc-468b-89dc-e49e55008390,statement descriptor,5,statement descriptor + company name + address (street) + address (city) + name,no
acct_1SOK1mRfLqhJ3GXE,Cubano X-Press,"Cubano X-Press, LLC",cubanoxpress@gmail.com,true,true,2025-11-03,CUBANO X-PRESS,www.cubanoxpress.com,+15512205185,Cubano X-Press,e67c9a16-cd6b-4db0-8672-e3325759be96,statement descriptor,5,statement descriptor + company name + address (city) + business url + name,no
acct_1SZEK5FoRgnhYh2F,Yo Mommas Cantina,Second Bite LLC,steve@yomommascantina.com,true,true,2025-11-30,YO MOMMAS CANTINA,www.yomommascantina.com,+17205122767,Yo Mommas Cantina,0b898af2-a741-425c-bd72-fcaf06fba769,statement descriptor,5,statement descriptor + address (city) + business url + address (zip only) + name,no
acct_1Nd3bsAAU4btXnE9,Unclepauliesdeli,Uncle Paulie's 3rd st LLC,catering@unclepauliesdeli.com,true,true,2023-08-17,UNCLE PAULIES 3RD ST ,https://unclepauliesdeli.com/,+13232973426,Uncle Paulie's Deli - W 3rd St.,d100f615-ceb3-47c8-9fc5-34f85f1b1813,statement descriptor,4,statement descriptor + company name + address (city) + business url,no
acct_1O8R9ZKlDV7pa9eh,Gregoriostrattoria,"GREGORIO'S AT SUMNER PLACE, LLC",gregoriostrattoriacatering2@gmail.com,true,true,2023-11-03,GREGORIOS TRATTORIA,www.gregoriostrattoria.com,+12404630211,GREGORIO'S TRATTORIA - BETHESDA,1319389f-f7f4-4a2f-bebe-461665fb1506,statement descriptor,4,statement descriptor + address (city) + address (zip only) + name,no
acct_1OCT4BCmjBmfXgnH,Gregoriostrattoria,"GREGORIO'S AT SUMNER PLACE, LLC",gregoriostrattoriacatering2@gmail.com,true,true,2023-11-14,GREGORIOS TRATTORIA,www.gregoriostrattoria.com,+12404630211,GREGORIO'S TRATTORIA - BETHESDA,1319389f-f7f4-4a2f-bebe-461665fb1506,statement descriptor,4,statement descriptor + address (city) + address (zip only) + name,no
acct_1Ogu9rAw38XMpHHO,theba.cafe,Cafe Buenos Aires,robert@theba.cafe,true,true,2024-02-06,CAFE BUENOS AIRES,www.theba.cafe,+15109819970,Cafe Buenos Aires,29d0c624-d3a6-4464-8ade-411656391ff3,statement descriptor,4,statement descriptor + address (city) + address (zip only) + name,no
acct_1OgWF9DiJCffddNh,Peacockpansy,Peacock Pansy Restaurant,peacockpansy.sf@gmail.com,true,true,2024-02-05,PEACOCK PANSY RESTAURA,peacockpansy.com,+16282462354,Peacock Pansy,2f7c94f2-ee38-430d-8050-b1084a8ba5ab,statement descriptor,4,statement descriptor + address (city) + business url + name,no
acct_1OMEE1EBe2Hwh4pi,Perkyscafekc,Tracy Smith,tracy@perkyscafekc.com,true,true,2023-12-11,PERKYSCAFEKC.COM,www.perkyscafekc.com,+19132104369,Perky's Cafe & Catering,b5b04a73-fe63-4f86-abb6-aae03c63739b,statement descriptor,4,statement descriptor + address (city) + address (zip only) + name,no
acct_1P2dKdE1myFGIcbt,Fireislandgrill,Fire Island Grill,jjacobson@fireislandgrill.com,true,true,2024-04-06,FIRE ISLAND GRILL,www.fireislandgrill.com,+18018675204,Fire Island Grill - Simi Valley,07faf5d8-c01e-49c5-9c51-929597dba15b,statement descriptor,4,statement descriptor + address (city) + business url + address (zip only),no
acct_1P7IkpAUSEYtK6zM,Noble Restaurant Co,Noble Restaurant Company LLC,colby@noblesandiego.com,true,true,2024-04-19,NOBLE RESTAURANT CO,www.noblesandiego.com,+16197861718,Noble Restaurant Co,c5049704-b981-4fb8-a41f-d56ebd1cacaa,statement descriptor,4,statement descriptor + address (city) + address (zip only) + name,no
acct_1R0BsrP4jIYCdUto,The Mini Donut Company,The Mini Donut Company LLC,matt@getminidonuts.com,true,true,2025-03-08,THE MINI DONUT COMPANY,www.getminidonuts.com,+16198978961,The Mini Donut Company - Westfield UTC,35bd6c9e-ae64-4b67-8ef8-0228c391a143,statement descriptor,4,statement descriptor + company name + address (zip only) + name,no
acct_1Szlos3skMOU3DcT,Happys Pizza Dayton,Dayton OH 107 LLC,store123@happyspizza.com,true,true,2026-02-11,HAPPYS PIZZA DAYTON,www.happyspizza.com,+12488080848,Happy's Pizza - Dayton,1b9dfc76-b9e0-4f9b-a23e-b91ce7ae86f4,statement descriptor,4,statement descriptor + address (city) + address (zip only) + name,no
acct_1TBgr0Qp46M80lvo,Starvin' Arvin's,Starvin Arvin LLC,contact@starvinarvin.com,true,true,2026-03-16,STARVIN ARVINS,StarvinArvins.com,+13045294899,Starvin' Arvin's Catering,7159e4b8-0b6c-45f6-8425-27eb5c744502,statement descriptor,4,statement descriptor + company name + address (street) + name,no
acct_1MCA4UCwSOMT7sdW,Wannabeechef,WannaBee Chef,wannabeechef@gmail.com,false,false,2022-12-06,WANNABEE CHEF,wannabeechef.com,+19174492459,WannaBee Chef Catering,8250746a-3555-4458-a479-2e80c3463206,statement descriptor,4,statement descriptor + company name + address (zip only) + name,no
acct_1Nf86rBav9mlYcAJ,Honeybrains,HONEYBRAINS,scott@honeybrains.com,false,false,2023-08-14,WWW.HONEYBRAINS.COM,www.honeybrains.com,+19174727682,Honeybrains,79488081-597a-4c7b-8239-dcda10e6d358,statement descriptor,4,statement descriptor + address (city) + business url + name,no
acct_1NQbJJAUYxGy5nyE,Stockyardphilly,Stockyard Sandwich Co,hello@stockyardphilly.com,false,true,,STOCKYARD SANDWICH CO,www.stockyardphilly.com,+12159779273,Stockyard Sandwich Co.,48d98c8e-4367-40c6-b2d9-982cb4eefa20,statement descriptor,4,statement descriptor + address (city) + address (zip only) + name,no
acct_1QB0n5HfwONmRN6V,Hoover's Cooking,"Solar Foods of Texas, Inc",hoover@hooverscooking.com,false,false,2024-10-17,HOOVERS COOKING,hooverscooking.com,+15124795006,Hoover's Cooking,a310624e-bfb2-4a02-94b6-2fc4a25cea43,statement descriptor,4,statement descriptor + address (city) + business url + name,no
acct_18CwPJAm1yBEW5wv,Vital Root Denver,Vital Root,turnup@ediblebeats.com,true,true,,VITAL ROOT,ediblebeats.com,3039934200,Rooted Cafe & Catering,caec6029-135a-4aa5-9866-38356f3955e1,statement descriptor,3,statement descriptor + company name + name,no
acct_1H8CCLICokWBfubs,Papillegustativela,Pro-Contract Inc,marina0523@gmail.com,true,true,,PAPILLE GUSTATIVE,https://papillegustativela.com/,+14243228040,Papille Gustative,1bdb91d9-963c-49af-ba33-75221f02da5b,statement descriptor,3,statement descriptor + address (city) + name,no
