Location,Order #,Order Date,Status,Order Type,Source,Net Sales,Tax (State),Tax (Local),Tax (Other),Delivery Fee,Tips,Service Charge,Discount,Lead Gen 1,Lead Gen 2,Gross (ex FM fee),FM 3% Fee (not yours),Stripe Fee,Refund Amount,Total Distributed,Stripe Transfer ID,Transfer Amount,Transfer Reversed,Payment Status,Record Source,In Disco Cater,In FamilyMeal,Discrepancy
Garden District,42445487,2026-07-06,COMPLETED,PICKUP,FAMILYMEAL,1,0.11,0,0,0,0,0,0,0,0,1.11,0.03,0.33,0,0.78,tr_3To4nQKp5OWEZLTA11O8SbLs,0.78,no,succeeded,FamilyMeal (authoritative),YES,YES,
Garden District,77315597,2026-07-13,COMPLETED,DELIVERY,FAMILYMEAL,44,4.73,0,0,6.6,4.4,0,0,0,0,59.73,1.32,2.07,0,46.66,tr_3TsOtwKp5OWEZLTA0YhZFWSO,46.66,no,succeeded,FamilyMeal (authoritative),YES,YES,
Garden District,74616362,2026-07-15,COMPLETED,PICKUP,FAMILYMEAL,100,10.75,0,0,0,15,0,0,0,0,125.75,3,4.03,0,121.72,tr_3TslbeKp5OWEZLTA0BQ8kPPT,121.72,no,succeeded,FamilyMeal (authoritative),YES,YES,
Garden District,81473475,2026-07-24,COMPLETED,PICKUP,FAMILYMEAL,65,6.99,0,0,0,9.75,0,0,0,0,81.74,1.95,2.73,0,79.01,tr_3Tw5BtKp5OWEZLTA0Q1nWBz5,79.01,no,succeeded,FamilyMeal (authoritative),YES,YES,
Garden District,15513325,2026-08-07,COMPLETED,PICKUP,FAMILYMEAL,450,48.38,0,0,0,90,0,0,0,0,588.38,13.5,17.75,0,570.63,tr_3U0saFKp5OWEZLTA0wHg888o,570.63,no,succeeded,FamilyMeal (authoritative),YES,YES,
Garden District,41109933,2026-08-12,COMPLETED,DELIVERY,FAMILYMEAL,140,15.05,0,0,21,14,0,0,0,0,190.05,4.2,5.93,0,149.12,tr_3U30uwKp5OWEZLTA0M2GLb6u,149.12,no,succeeded,FamilyMeal (authoritative),YES,YES,
Garden District,85189140,2026-08-15,COMPLETED,PICKUP,FAMILYMEAL,190,20.43,0,0,0,28.5,0,0,0,0,238.93,5.7,7.39,0,231.54,tr_3U3J3lKp5OWEZLTA0gU1L9CR,231.54,no,succeeded,FamilyMeal (authoritative),YES,YES,
Garden District,15924731,2026-08-18,COMPLETED,DELIVERY,FAMILYMEAL,130,13.98,0,0,19.5,19.5,0,0,0,0,182.98,3.9,5.72,0,138.26,tr_3U3IK7Kp5OWEZLTA0H9BW4YY,138.26,no,succeeded,FamilyMeal (authoritative),YES,YES,
Garden District,71059337,2026-08-21,COMPLETED,DELIVERY,FAMILYMEAL,210,22.58,0,0,31.5,42,0,0,0,0,306.08,6.3,9.36,0,223.22,tr_3U5uWmKp5OWEZLTA1diFY8W0,223.22,no,succeeded,FamilyMeal (authoritative),YES,YES,
Garden District,75174250,2026-08-21,COMPLETED,PICKUP,FAMILYMEAL,60,6.45,0,0,0,0,0,0,0,0,66.45,1.8,2.28,0,64.17,tr_3U5Ts5Kp5OWEZLTA0b81dYMJ,64.17,no,succeeded,FamilyMeal (authoritative),YES,YES,
Garden District,95807513,2026-09-01,COMPLETED,DELIVERY,FAMILYMEAL,551,59.23,0,0,82.65,110.2,0,0,0,0,803.08,16.53,24.07,0,586.16,tr_3Tt9IuKp5OWEZLTA1c2RdsIt,586.16,no,succeeded,FamilyMeal (authoritative),YES,YES,
Garden District,80285521,2026-09-06,COMPLETED,DELIVERY,FAMILYMEAL,100,10.75,0,0,15,15,0,0,0,0,140.75,3,4.47,0,106.28,tr_3UC45jKp5OWEZLTA0NQFNoe1,106.28,no,succeeded,FamilyMeal (authoritative),YES,YES,
Garden District,900000151,2026-09-15,COMPLETED,DELIVERY,FAMILYMEAL,216,23.22,0,0,32.4,43.2,0,0,0,0,314.82,6.48,9.62,0,229.6,tr_3UFYqOKp5OWEZLTA0eXONVdr,229.6,no,succeeded,Disco Cater (native),YES (native only),NO,"Disco-native order — never sent to FamilyMeal, absent from FM by design"
Garden District,900000184,2026-09-19,DUE,DELIVERY,FAMILYMEAL,154,16.56,0,0,23.1,23.1,0,0,0,0,216.76,4.62,6.72,0,163.84,tr_3UGmuYKp5OWEZLTA0RHWZf6t,163.84,no,succeeded,Disco Cater (native),YES (native only),NO,"Disco-native order — never sent to FamilyMeal, absent from FM by design"
Garden District,900000208,2026-09-26,DUE,PICKUP,FAMILYMEAL,75,8.06,0,0,0,15,0,0,0,0,98.06,2.25,3.21,0,94.85,tr_3UHNloKp5OWEZLTA0kP97KEC,94.85,no,succeeded,Disco Cater (native),YES (native only),NO,"Disco-native order — never sent to FamilyMeal, absent from FM by design"
