Location,Order #,Order Date,Status,Order Type,Source,Net Sales,Tax (State),Tax (Local),Tax (Other),Delivery Fee,Tips,Service Charge,Discount,Lead Gen 1,Lead Gen 2,Gross (ex FM fee),FM 3% Fee (not yours),Stripe Fee,Refund Amount,Total Distributed,Stripe Transfer ID,Transfer Amount,Transfer Reversed,In Disco Cater,Discrepancy
Stacks & Cordials - Clawson,90079268,2026-02-11,DUE,DLIVRD_DELIVERY,FAMILYMEAL,249.00,16.43,0.00,0.00,37.35,0.00,24.90,0.00,0.00,0.00,365.03,7.47,11.10,0.00,279.23,tr_3Swm01Kp5OWEZLTA1XhSdzYE,279.23,no,yes,
Stacks & Cordials - Clawson,44038969,2026-05-22,DUE,DLIVRD_DELIVERY,FAMILYMEAL,219.96,14.52,0.00,0.00,32.99,0.00,22.00,0.00,0.00,0.00,289.47,6.60,8.89,0.00,247.59,tr_3TZsjNKp5OWEZLTA1u6AaMB6,247.58,no,yes,
Stacks & Cordials - Clawson,94724798,2026-06-13,DUE,DLIVRD_DELIVERY,FAMILYMEAL,999.00,65.93,0.00,0.00,85.00,0.00,99.90,0.00,0.00,0.00,1249.83,29.97,37.41,0.00,1127.42,tr_3Tfj9RKp5OWEZLTA1gog3NBc,1127.42,no,yes,
Stacks & Cordials - Clawson,89762533,2026-07-09,DUE,DLIVRD_DELIVERY,FAMILYMEAL,688.99,45.47,0.00,0.00,85.00,0.00,68.90,0.00,0.00,0.00,888.36,20.67,26.66,0.00,776.70,tr_3TqdG9Kp5OWEZLTA03j7qpkK,776.70,no,yes,svc neon 0 vs fm 68.9; stripeFee neon 0 vs fm 26.66
Stacks & Cordials - Clawson,54339336,2026-07-10,DUE,DLIVRD_DELIVERY,FAMILYMEAL,314.94,20.79,0.00,0.00,47.24,0.00,31.49,0.00,0.00,0.00,461.70,9.45,13.96,0.00,353.26,tr_3TqdXrKp5OWEZLTA11I0UQaV,353.25,no,yes,svc neon 0 vs fm 31.49; stripeFee neon 0 vs fm 13.96; tips neon 47.24 vs fm 0.0
Stacks & Cordials - Clawson,19080612,2026-08-26,DUE,DLIVRD_DELIVERY,FAMILYMEAL,304.00,20.06,0.00,0.00,45.60,0.00,30.40,0.00,0.00,0.00,420.06,9.12,12.75,0.00,341.71,tr_3U7xxzKp5OWEZLTA0fX16wFV,341.71,no,yes,svc neon 0 vs fm 30.4; stripeFee neon 0 vs fm 12.75; tips neon 20 vs fm 0.0
Stacks & Cordials - Clawson,36594966,2026-09-01,DUE,PICKUP,FAMILYMEAL,214.95,14.19,0.00,0.00,0.00,0.00,21.50,0.00,0.00,0.00,250.64,6.45,7.76,0.00,242.88,tr_3UAXS4Kp5OWEZLTA1yV8PtDL,242.88,no,yes,svc neon 0 vs fm 21.5; stripeFee neon 0 vs fm 7.76
Stacks & Cordials - Clawson,11372483,2026-09-11,DUE,PICKUP,FAMILYMEAL,328.99,21.71,0.00,0.00,0.00,0.00,32.90,0.00,0.00,0.00,383.60,9.87,11.71,0.00,371.89,tr_3U9A5hKp5OWEZLTA0iXFsQ4Z,371.89,no,yes,svc neon 0 vs fm 32.9; stripeFee neon 0 vs fm 11.71
Stacks & Cordials - Royal Oak,38953548,2026-01-09,COMPLETED,PICKUP,FAMILYMEAL,339.99,22.44,0.00,0.00,0.00,34.00,34.00,0.00,0.00,0.00,430.43,10.20,13.08,0.00,417.35,tr_3SnKQcKp5OWEZLTA0s7H206e,417.35,no,yes,
Stacks & Cordials - Royal Oak,83901355,2026-01-24,COMPLETED,DLIVRD_DELIVERY,FAMILYMEAL,79.98,5.28,0.00,0.00,12.00,0.00,8.00,0.00,0.00,0.00,117.26,2.40,3.77,0.00,89.49,tr_3SslMZKp5OWEZLTA1qFbodes,89.49,no,yes,
Stacks & Cordials - Royal Oak,41700239,2026-03-10,DUE,DLIVRD_DELIVERY,FAMILYMEAL,224.95,14.85,0.00,0.00,33.74,0.00,22.50,0.00,0.00,0.00,296.04,6.75,9.08,0.00,253.22,tr_3T9390Kp5OWEZLTA0oXTBzOk,253.21,no,yes,
Stacks & Cordials - Royal Oak,57841326,2026-04-06,DUE,PICKUP,FAMILYMEAL,234.96,15.51,0.00,0.00,0.00,23.50,23.50,0.00,0.00,0.00,297.47,7.05,9.13,0.00,288.34,tr_3TIdbVKp5OWEZLTA0VIlJhh1,288.34,no,yes,
Stacks & Cordials - Royal Oak,27385542,2026-04-25,DUE,PICKUP,FAMILYMEAL,234.96,15.51,0.00,0.00,0.00,35.24,23.50,0.00,0.00,0.00,309.21,7.05,9.47,0.00,299.74,tr_3TP0y1Kp5OWEZLTA1OUqYNwQ,299.74,no,yes,
Stacks & Cordials - Royal Oak,21778941,2026-05-04,DUE,DLIVRD_DELIVERY,FAMILYMEAL,249.00,16.43,0.00,0.00,37.35,0.00,24.90,0.00,0.00,0.00,327.68,7.47,10.02,0.00,280.31,tr_3TSUHXKp5OWEZLTA1xSUk7iq,280.31,no,yes,
Stacks & Cordials - Royal Oak,34140194,2026-08-15,DUE,DLIVRD_DELIVERY,FAMILYMEAL,519.90,34.31,0.00,0.00,77.99,0.00,51.99,0.00,0.00,0.00,694.19,15.60,20.88,0.00,585.32,tr_3U31PzKp5OWEZLTA1JFG6Wxe,585.32,no,yes,svc neon 0 vs fm 51.99; stripeFee neon 0 vs fm 20.88; tips neon 10 vs fm 0.0
Stacks & Cordials - Royal Oak,32835650,2026-08-18,DUE,DLIVRD_DELIVERY,FAMILYMEAL,229.96,15.18,0.00,0.00,34.49,0.00,23.00,0.00,0.00,0.00,337.12,6.90,10.28,0.00,257.86,tr_3U4Jt7Kp5OWEZLTA1uxtF3nt,257.85,no,yes,svc neon 0 vs fm 23.0; stripeFee neon 0 vs fm 10.28; tips neon 34.49 vs fm 0.0
Stacks & Cordials - Royal Oak,99336600,2026-08-28,DUE,DLIVRD_DELIVERY,FAMILYMEAL,229.95,15.18,0.00,0.00,34.49,0.00,23.00,0.00,0.00,0.00,337.11,6.90,10.28,0.00,257.85,tr_3U95b5Kp5OWEZLTA0jJTFHwX,257.84,no,yes,svc neon 0 vs fm 23.0; stripeFee neon 0 vs fm 10.28; tips neon 34.49 vs fm 0.0
Stacks & Cordials - Royal Oak,22696173,2026-09-10,DUE,DLIVRD_DELIVERY,FAMILYMEAL,249.00,16.43,0.00,0.00,37.35,0.00,24.90,0.00,0.00,0.00,337.68,7.47,10.31,0.00,280.02,tr_3UDjk7Kp5OWEZLTA1mXIeY5V,280.02,no,yes,svc neon 0 vs fm 24.9; stripeFee neon 0 vs fm 10.31; tips neon 10 vs fm 0.0
Stacks & Cordials - Royal Oak,67219694,2026-09-10,SELECTED,DLIVRD_DELIVERY,FAMILYMEAL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,no,NOT IN DISCO (abandoned cart)
TOTAL,19 orders,,,,,5912.48,390.22,0.00,0.00,600.59,92.74,591.28,0.00,0.00,0.00,7792.88,177.39,236.54,0.00,6750.18,,6750.13,,,
