"id","business_name","status","address_id","version","created_date","modified_date","created_by","modified_by","reference","blocked","image_id","online_ordering_allowed","delivery_allowed","promo_code","message","timezone","delivery_type","doordash_allowed","pickup_instructions","announcement","business_name_without_spaces","menu_categories","delivery_only","money_flow","fee_categories","type","fulfillment_options","restaurant_categories","website_url","position","location_position","group_id","nash_allowed","tax_rates","lead_gen_one","lead_gen_two","delivery_order_time_windows","enable_menu_search","shipday_enabled"
4,"Volo's restaurant","PENDING","4",99,"2021-03-30 07:03:27.021+00","2024-04-15 16:52:37.27+00","volodymyr.dudas.work@gmail.com","volodymyr.dudas.work@gmail.com","52c6d607-a0a0-4896-82a9-34cd44541c4d",True,"446",True,True,"5542039d8f84ee78bd5918e13a74ef7",NULL,"America/New_York","OWN_DELIVERY",False,"Test test","123","volosrestaurant","[ {
  ""menuCategoriesType"" : ""MEAL_PACKAGES"",
  ""displayMenuCategoriesName"" : ""Meal Packages""
}, {
  ""menuCategoriesType"" : ""SUBSCRIPTIONS"",
  ""displayMenuCategoriesName"" : ""Subscriptions""
}, {
  ""menuCategoriesType"" : ""CLASSICS"",
  ""displayMenuCategoriesName"" : ""Classics Elements""
} ]",False,"DIRECT","[ {
  ""feeType"" : ""SERVICE_CHARGE"",
  ""displayFeeCategoriesName"" : ""Service chargess""
} ]","ORDERING","[ ""PICKUP"" ]","[ ""EVENT"", ""HOLIDAY"", ""MEAL_PREP"", ""WHOLESALE"", ""EXCLUSIVES"", ""OFFICE"", ""POP_UP"", ""PRIVATE_CHEF"", ""SUBSCRIPTIONS"" ]",NULL,NULL,NULL,"7",True,"{
  ""stateSalesTax"" : {
    ""percent"" : 10.123,
    ""fixedAmount"" : null
  },
  ""localSalesTax"" : {
    ""percent"" : 5.222,
    ""fixedAmount"" : null
  },
  ""otherSalesTax"" : {
    ""percent"" : 2.12,
    ""fixedAmount"" : null,
    ""types"" : [ ""PICKUP"", ""DELIVERY"" ]
  }
}",15,3,"exact",False,False
5,"Test","PENDING","6",65,"2021-03-31 15:01:40.352+00","2024-03-22 09:51:41.704+00","matthew@familymeal.com",NULL,"7b92a1d7-cb5c-4d53-b398-117b251e2347",True,"91",True,True,"a2368fc424c5116e46d381fbabfd7",NULL,"America/New_York","NASH_DELIVERY",True,NULL,"Our delivery window is between 2:00pm and 6:00pm","Test","[ {
  ""menuCategoriesType"" : ""MEAL_PACKAGES"",
  ""displayMenuCategoriesName"" : ""Balance Adjustments""
}, {
  ""menuCategoriesType"" : ""SUBSCRIPTIONS"",
  ""displayMenuCategoriesName"" : ""Subscriptions""
}, {
  ""menuCategoriesType"" : ""CLASSICS"",
  ""displayMenuCategoriesName"" : ""Classics""
} ]",False,"DIRECT",NULL,"ORDERING","[ ""PICKUP"", ""DELIVERY"" ]","[ ""EVENT"", ""HOLIDAY"", ""MEAL_PREP"", ""WHOLESALE"", ""EXCLUSIVES"", ""OFFICE"", ""POP_UP"", ""PRIVATE_CHEF"", ""SUBSCRIPTIONS"" ]",NULL,NULL,NULL,NULL,True,"{
  ""stateSalesTax"" : {
    ""percent"" : 6.625,
    ""fixedAmount"" : null
  },
  ""localSalesTax"" : {
    ""percent"" : 0,
    ""fixedAmount"" : null
  },
  ""otherSalesTax"" : {
    ""percent"" : 0,
    ""fixedAmount"" : null,
    ""types"" : [ ""DELIVERY"", ""PICKUP"" ]
  }
}",15,3,"exact",False,False
6,"Maya's Cafe","PENDING","7",19,"2021-03-31 16:37:11.132+00","2024-03-22 09:51:41.698+00","matthew@familymeal.com",NULL,"52fa9d25-97b4-4ae3-b0f0-cd0f711437eb",True,NULL,True,True,"62ae6cdd59f10b1cca6af2db39cf27",NULL,"America/New_York",NULL,False,NULL,NULL,"Maya'sCafe",NULL,False,"DIRECT",NULL,"ORDERING","[ ""PICKUP"" ]","[ ""EVENT"", ""HOLIDAY"", ""MEAL_PREP"", ""WHOLESALE"", ""EXCLUSIVES"", ""OFFICE"", ""POP_UP"", ""PRIVATE_CHEF"", ""SUBSCRIPTIONS"" ]",NULL,NULL,NULL,NULL,True,"{
  ""stateSalesTax"" : {
    ""percent"" : 0,
    ""fixedAmount"" : null
  },
  ""localSalesTax"" : {
    ""percent"" : 0,
    ""fixedAmount"" : null
  },
  ""otherSalesTax"" : {
    ""percent"" : 0,
    ""fixedAmount"" : null,
    ""types"" : [ ""DELIVERY"", ""PICKUP"" ]
  }
}",15,3,"exact",False,False
16,"Test Kitchen","ACCEPTED","25",272,"2021-04-20 15:33:26.058+00","2026-02-10 10:12:33.287+00","chef@familymeal.com","chef@familymeal.com","c8322ff4-32dd-47bc-8515-3f0cffc34bbf",False,"2317",True,True,"24e4b7223a1283a5113eb7189f3372bc",NULL,"America/New_York","NASH_DELIVERY",True,"Use the back door","Delivery now available!","testkitchen","[ {
  ""menuCategoriesType"" : ""MEAL_PACKAGES"",
  ""displayMenuCategoriesName"" : ""Menu 1""
}, {
  ""menuCategoriesType"" : ""SUBSCRIPTIONS"",
  ""displayMenuCategoriesName"" : ""Subscriptions""
}, {
  ""menuCategoriesType"" : ""CLASSICS"",
  ""displayMenuCategoriesName"" : ""Menu 2""
} ]",False,"DIRECT","[ {
  ""feeType"" : ""SERVICE_CHARGE"",
  ""displayFeeCategoriesName"" : """"
} ]","ORDERING","[ ""PICKUP"", ""DELIVERY"" ]","[ ""EVENT"", ""EXCLUSIVES"" ]",NULL,NULL,0,"4",True,"{
  ""stateSalesTax"" : {
    ""percent"" : 10,
    ""fixedAmount"" : null
  },
  ""localSalesTax"" : {
    ""percent"" : 0,
    ""fixedAmount"" : null
  },
  ""otherSalesTax"" : {
    ""percent"" : null,
    ""fixedAmount"" : null,
    ""types"" : [ ""PICKUP"", ""DELIVERY"" ]
  }
}",15,3,"1_hour",False,False
17,"Shine Provisions","ACCEPTED","26",93,"2021-04-29 18:04:34.454+00","2024-03-22 09:51:41.755+00","peter@familymeal.com",NULL,"c707d99e-7cb0-4ac2-a4c2-62bb747e8870",False,"351",True,True,"5bffdc6fea2a5a75ea7633cf96686f6",NULL,"America/New_York","OWN_DELIVERY",False,"",NULL,"ShineProvisions","[ {
  ""menuCategoriesType"" : ""MEAL_PACKAGES"",
  ""displayMenuCategoriesName"" : ""Specials""
}, {
  ""menuCategoriesType"" : ""SUBSCRIPTIONS"",
  ""displayMenuCategoriesName"" : """"
}, {
  ""menuCategoriesType"" : ""CLASSICS"",
  ""displayMenuCategoriesName"" : """"
} ]",False,"DIRECT",NULL,"ORDERING","[ ""PICKUP"" ]","[ ""EVENT"", ""PRIVATE_CHEF"", ""POP_UP"", ""HOLIDAY"", ""EXCLUSIVES"", ""OFFICE"", ""MEAL_PREP"" ]",NULL,NULL,NULL,NULL,True,"{
  ""stateSalesTax"" : {
    ""percent"" : 2.9,
    ""fixedAmount"" : null
  },
  ""localSalesTax"" : {
    ""percent"" : 4.53,
    ""fixedAmount"" : null
  },
  ""otherSalesTax"" : {
    ""percent"" : 1.085,
    ""fixedAmount"" : null,
    ""types"" : [ ""DELIVERY"", ""PICKUP"" ]
  }
}",15,3,"exact",False,False
19,"The Nosh Dept.","PENDING","28",15,"2021-05-04 15:59:40.823+00","2024-03-22 09:51:41.702+00","tom@familymeal.com",NULL,"1687bbdb-a0d9-4d50-ae38-0bbf67214c40",True,"116",True,True,"165d89a9d65f3a7d1241262b81c10cb",NULL,"America/New_York","NASH_DELIVERY",True,"Please call if problem",NULL,"TheNoshDept.",NULL,False,"DIRECT",NULL,"ORDERING","[ ""PICKUP"", ""DELIVERY"" ]","[ ""EVENT"", ""HOLIDAY"", ""MEAL_PREP"", ""WHOLESALE"", ""EXCLUSIVES"", ""OFFICE"", ""POP_UP"", ""PRIVATE_CHEF"", ""SUBSCRIPTIONS"" ]",NULL,NULL,NULL,NULL,True,"{
  ""stateSalesTax"" : {
    ""percent"" : 8.875,
    ""fixedAmount"" : null
  },
  ""localSalesTax"" : {
    ""percent"" : 0,
    ""fixedAmount"" : null
  },
  ""otherSalesTax"" : {
    ""percent"" : 0,
    ""fixedAmount"" : null,
    ""types"" : [ ""DELIVERY"", ""PICKUP"" ]
  }
}",15,3,"exact",False,False
20,"Hearthly Burger - Shrewsbury","ACCEPTED","29",64,"2021-05-04 16:31:12.577+00","2026-02-07 17:04:49.914+00","peter@familymeal.com","chris@hearthlyburger.com","f3afe471-08b1-47ee-a121-95cd554408ea",False,"346",True,True,"d535462854e8eae2b313dc84b21bd2f",NULL,"America/New_York","NASH_DELIVERY",True,"Pickup at register.","Pickup & Delivery available. Seed oil free. Free range beef and chicken.","hearthly","[ {
  ""menuCategoriesType"" : ""MEAL_PACKAGES"",
  ""displayMenuCategoriesName"" : ""Catering Menu""
}, {
  ""menuCategoriesType"" : ""SUBSCRIPTIONS"",
  ""displayMenuCategoriesName"" : ""Subscriptions""
}, {
  ""menuCategoriesType"" : ""CLASSICS"",
  ""displayMenuCategoriesName"" : ""Menu (2)""
} ]",False,"DIRECT",NULL,"ORDERING","[ ""DELIVERY"", ""PICKUP"" ]","[ ""EXCLUSIVES"", ""EVENT"", ""OFFICE"" ]",NULL,NULL,0,"51",True,"{
  ""stateSalesTax"" : {
    ""percent"" : 6.625,
    ""fixedAmount"" : null
  },
  ""localSalesTax"" : {
    ""percent"" : 0,
    ""fixedAmount"" : null
  },
  ""otherSalesTax"" : {
    ""percent"" : 0,
    ""fixedAmount"" : null,
    ""types"" : [ ""PICKUP"", ""DELIVERY"" ]
  }
}",0,0,"exact",False,False
21,"Chef Collins Events","PENDING","32",13,"2021-05-10 18:24:25.767+00","2024-03-22 09:51:41.698+00","tom@familymeal.com",NULL,"007a3f91-64c9-4e87-a75f-f53f558d3f39",True,"107",True,True,"98ef3eb2834738b3fe5b05bdad90d1",NULL,"America/New_York","OWN_DELIVERY",False,"N/A",NULL,"ChefCollinsEvents",NULL,False,"DIRECT",NULL,"ORDERING","[ ""PICKUP"" ]","[ ""EVENT"", ""HOLIDAY"", ""MEAL_PREP"", ""WHOLESALE"", ""EXCLUSIVES"", ""OFFICE"", ""POP_UP"", ""PRIVATE_CHEF"", ""SUBSCRIPTIONS"" ]",NULL,NULL,NULL,NULL,True,"{
  ""stateSalesTax"" : {
    ""percent"" : 0.6875,
    ""fixedAmount"" : null
  },
  ""localSalesTax"" : {
    ""percent"" : 0,
    ""fixedAmount"" : null
  },
  ""otherSalesTax"" : {
    ""percent"" : 0,
    ""fixedAmount"" : null,
    ""types"" : [ ""DELIVERY"", ""PICKUP"" ]
  }
}",15,3,"exact",False,False
22,"Marcel Bakery and Kitchen","ACCEPTED","33",91,"2021-05-10 20:13:55.678+00","2026-03-09 18:42:29.832+00","tom@familymeal.com","peter@familymeal.com","e2e1d8ad-6d72-49f5-93e0-ad3504475797",False,"3003",True,True,"5d42e9a4cdcfae5bc327e6e461b3ef8",NULL,"America/New_York","NASH_DELIVERY",False,"","Please allow 24 hours notice for catering orders | Pickup & delivery available | Please call 973-842-4088 with any questions","mishmish","[ {
  ""menuCategoriesType"" : ""MEAL_PACKAGES"",
  ""displayMenuCategoriesName"" : ""Catering""
}, {
  ""menuCategoriesType"" : ""SUBSCRIPTIONS"",
  ""displayMenuCategoriesName"" : """"
}, {
  ""menuCategoriesType"" : ""CLASSICS"",
  ""displayMenuCategoriesName"" : ""Classics""
} ]",False,"FAMILY_MEAL",NULL,"ORDERING","[ ""PICKUP"", ""DELIVERY"" ]","[ ""EVENT"", ""HOLIDAY"" ]",NULL,12,NULL,NULL,True,"{
  ""stateSalesTax"" : {
    ""percent"" : 6.625,
    ""fixedAmount"" : null
  },
  ""localSalesTax"" : {
    ""percent"" : 0,
    ""fixedAmount"" : null
  },
  ""otherSalesTax"" : {
    ""percent"" : 0,
    ""fixedAmount"" : null,
    ""types"" : [ ""PICKUP"", ""DELIVERY"" ]
  }
}",15,3,"exact",False,False
23,"Avellino Family Barbecue","PENDING","36",12,"2021-05-24 19:34:52.133+00","2024-03-22 09:51:41.702+00","tom@familymeal.com",NULL,"4778fb15-b5a1-4c39-af0b-0da9319f9636",True,NULL,False,True,"4a3cce9b6c28990783fe0e5e88cdf68",NULL,"America/New_York","OWN_DELIVERY",False,"Pickup in courtyard",NULL,"AvellinoFamilyBarbecue",NULL,False,"DIRECT",NULL,"ORDERING","[ ""PICKUP"" ]","[ ""EVENT"", ""HOLIDAY"", ""MEAL_PREP"", ""WHOLESALE"", ""EXCLUSIVES"", ""OFFICE"", ""POP_UP"", ""PRIVATE_CHEF"", ""SUBSCRIPTIONS"" ]",NULL,NULL,NULL,NULL,True,"{
  ""stateSalesTax"" : {
    ""percent"" : 6.35,
    ""fixedAmount"" : null
  },
  ""localSalesTax"" : {
    ""percent"" : 0,
    ""fixedAmount"" : null
  },
  ""otherSalesTax"" : {
    ""percent"" : 0,
    ""fixedAmount"" : null,
    ""types"" : [ ""DELIVERY"", ""PICKUP"" ]
  }
}",15,3,"exact",False,False
